Country,Total expenditure on health as a percentage of gross domestic product; 2013,Total expenditure on health as a percentage of gross domestic product; 2012,Total expenditure on health as a percentage of gross domestic product; 2000,General government expenditure on health as a percentage of total expenditure on health; 2013,General government expenditure on health as a percentage of total expenditure on health; 2012,General government expenditure on health as a percentage of total expenditure on health; 2000,Private expenditure on health as a percentage of total expenditure on health; 2013,Private expenditure on health as a percentage of total expenditure on health; 2012,Private expenditure on health as a percentage of total expenditure on health; 2000,General government expenditure on health as a percentage of total government expenditure; 2013,General government expenditure on health as a percentage of total government expenditure; 2012,General government expenditure on health as a percentage of total government expenditure; 2000,External resources for health as a percentage of total expenditure on health; 2013,External resources for health as a percentage of total expenditure on health; 2012,External resources for health as a percentage of total expenditure on health; 2000,Social security expenditure on health as a percentage of general government expenditure on health; 2013,Social security expenditure on health as a percentage of general government expenditure on health; 2012,Social security expenditure on health as a percentage of general government expenditure on health; 2000,Out-of-pocket expenditure as a percentage of private expenditure on health; 2013,Out-of-pocket expenditure as a percentage of private expenditure on health; 2012,Out-of-pocket expenditure as a percentage of private expenditure on health; 2000,Out-of-pocket expenditure as a percentage of total expenditure on health; 2013,Out-of-pocket expenditure as a percentage of total expenditure on health; 2012,Out-of-pocket expenditure as a percentage of total expenditure on health; 2000,Private prepaid plans as a percentage of private expenditure on health; 2013,Private prepaid plans as a percentage of private expenditure on health; 2012,Private prepaid plans as a percentage of private expenditure on health; 2000
Afghanistan,8.1,8.5,,21.2,20.8,,78.8,75.3,,7.1,7.1,,18.6,21.7,,0,,,93.6,93.6,,73.8,70.5,,0,0,
Albania,5.9,5.6,6.3,48.4,49.3,36.1,51.6,50.7,63.9,9.8,9.8,7.1,1.3,3.6,6,74.1,74.1,20.4,99.7,99.7,99.9,51.5,50.5,63.8,,,0
Algeria,6.6,6,3.5,74.2,73.5,73.3,25.8,26.5,26.7,9.4,9.8,8.8,0.1,0.1,0.1,30.1,29.1,35.5,97.2,97.2,96.7,25.1,25.8,25.8,2.7,2.7,3.1
Andorra,8.1,8.3,6,75.3,76.6,64.8,24.7,23.4,35.2,23.1,23.1,19.1,,,0,24.2,24.2,88.1,74.6,74.6,75.5,18.4,17.5,26.6,23.3,23.3,22.3
Angola,3.8,3.5,3.4,66.7,62.2,49.5,33.3,37.8,50.5,7.7,5.6,2.9,1.7,1.7,2.5,0,0,0,73.2,70.5,71.4,24.4,26.7,36.1,0,0,0
Antigua and Barbuda,4.9,5.4,4.2,64.5,68,67.1,35.5,32,32.9,14.7,17.2,11.4,0.3,0,,8.8,7.6,0,75.2,74.8,79.4,26.7,24,26.2,24.8,25.2,20.6
Argentina,7.3,6.8,7.6,67.7,69.3,53.9,32.3,30.7,46.1,31.8,22.5,14.7,0.5,0.7,0,54,52.8,59.6,65.3,65.5,63,21.1,20.1,29,25.9,25.9,30.7
Armenia,4.5,4.5,6.3,41.7,41.8,18.2,58.3,58.2,81.8,7.9,7.9,5.3,6.5,6.4,8.7,0,0,0,93.9,93.8,94.5,54.7,54.6,77.3,6.1,6.1,
Australia,9.4,9.4,8.1,66.6,67.2,66.9,33.4,32.8,33.2,18.7,18.7,15.1,,,,0,0,0,57.1,57.1,59.7,19.1,18.7,19.8,25.4,25.4,21.8
Austria,11,11.1,10,75.7,75.9,75.6,24.3,24.1,24.4,16.3,16.3,14.6,0,0,0,55.1,55.1,58.6,65.2,65.2,62.1,15.8,15.7,15.1,18.5,18.5,19.4
Azerbaijan,5.6,5.4,4.7,20.8,22.6,18.6,79.2,77.4,81.4,3.5,3.8,5.4,0.5,1,4,0,0,0,89.7,89.1,77.7,71.1,69,63.3,0.7,0.7,0.3
Bahamas,7.3,7.3,5.2,44,45.1,48.1,56,54.9,51.9,14,15.1,14.8,0,0,0,0,0,1.8,54,54,40.2,30.2,29.6,20.9,45.1,45.1,58.6
